Date,Open,High,Low,Close,Volume
11/18/1999,30.6566,33.5201,26.9508,29.6459,44744700
11/19/1999,28.93,28.9721,26.8245,27.2035,10897100
11/22/1999,27.8352,29.6459,26.9929,29.6459,4705200
11/23/1999,28.6353,29.3932,26.9508,26.9508,4274400
11/24/1999,27.035,28.2563,26.9508,27.6667,3464400
11/26/1999,27.5404,27.9615,27.4562,27.7509,1237100
11/29/1999,27.6246,28.5931,27.3298,28.3826,2914700
11/30/1999,28.2984,28.93,27.5825,28.4247,3089700
12/1/1999,28.4247,29.2669,28.2141,28.93,2115400
12/2/1999,29.4775,30.3197,29.0985,29.7301,2195900
12/3/1999,30.2776,30.7829,29.8565,29.9828,2175700
12/6/1999,30.4881,31.2882,30.446,30.825,1610000
12/7/1999,30.825,30.9935,29.8565,30.4881,1585100
12/8/1999,30.4881,30.7408,30.1933,30.446,1350400
12/9/1999,30.4881,30.9513,30.4881,30.8671,1451400
12/10/1999,30.7829,30.9513,30.1512,30.1512,1190800
12/13/1999,30.6566,31.1619,29.8986,30.6566,2875900
12/14/1999,30.5723,30.5723,28.3405,28.9721,1665900
12/15/1999,28.2984,28.5089,27.6246,28.0878,2087100
12/16/1999,28.2984,32.341,28.2984,31.8357,1848300
12/17/1999,31.2461,31.7514,30.6145,30.9513,2652400
12/20/1999,31.1619,31.6251,31.0777,31.583,856100
12/21/1999,31.4567,31.4567,30.9935,31.4146,1616200
12/22/1999,31.4146,32.0462,31.204,32.0462,1363200
12/23/1999,32.0041,33.6885,31.962,33.5201,1544700
12/27/1999,33.6464,35.8362,33.3938,35.5835,1451800
12/28/1999,36.5521,41.4369,36.3415,41.4369,2546500
12/29/1999,42.4476,53.27,42.4054,48.5115,7514200
12/30/1999,51.2066,53.9017,50.0275,53.3963,4772000
12/31/1999,53.5648,53.8595,51.375,52.0909,1381400
1/3/2000,53.0594,53.1858,45.3953,48.5115,3343700
1/4/2000,45.9006,46.406,43.6267,44.8058,3408500
1/5/2000,44.6373,44.6373,40.6368,42.0264,4119200
1/6/2000,41.5211,41.7738,39.1629,40.4262,1812900
1/7/2000,39.7946,44.4268,39.7525,43.7951,2016900
1/10/2000,46.4902,46.9113,45.5216,46.4481,1536800
1/11/2000,46.4481,46.4481,44.7636,45.8164,1327600
1/12/2000,45.8164,45.8164,43.1634,44.89,1022800
1/13/2000,46.0691,47.0376,44.4689,45.5637,811400
1/14/2000,45.1426,46.7428,45.1426,46.0691,942000
1/18/2000,46.2375,49.101,45.9006,48.1746,1503400
1/19/2000,48.5115,48.5115,47.0376,47.1639,1877600
1/20/2000,47.6693,47.7535,45.4795,45.9006,1436300
1/21/2000,46.5744,46.7428,44.7636,46.3217,1372200
1/24/2000,46.1533,48.3852,45.8164,46.1533,1499200
1/25/2000,46.3217,46.9113,44.7636,45.6059,825300
1/26/2000,45.7743,46.6586,45.7322,46.027,731300
1/27/2000,47.0797,47.5008,45.3111,46.1112,621300
1/28/2000,46.8271,46.8271,45.4374,45.8585,1151100
1/31/2000,45.5216,45.5637,43.6267,44.5952,749200
2/1/2000,44.6373,48.5115,44.6373,47.8377,1004500
2/2/2000,48.4273,51.5435,48.2167,51.5435,1391400
2/3/2000,50.6591,52.3857,49.7327,52.3857,1272900
2/4/2000,52.3857,52.3857,50.5328,51.375,819500
2/7/2000,52.3436,53.9017,51.375,53.5648,911500
2/8/2000,54.407,55.3755,52.7226,53.2279,836700
2/9/2000,52.3015,53.0173,50.996,51.0381,846100
2/10/2000,51.8803,53.1016,50.7434,51.6698,763100
2/11/2000,51.5435,51.754,50.4065,50.7855,537700
2/14/2000,50.7012,51.8382,50.4065,51.5013,599200
2/15/2000,51.5856,55.923,51.5856,55.165,1443200
2/16/2000,53.9017,55.165,53.4805,54.5754,1288800
2/17/2000,54.5754,65.3558,52.3015,65.3558,675900
2/18/2000,59.6287,64.5978,59.3339,63.166,2904200
2/22/2000,64.682,65.6084,60.6394,61.65,1593700
2/23/2000,61.7342,67.714,61.7342,66.7033,1208900
2/24/2000,68.3035,77.7784,67.714,71.925,2114700
2/25/2000,69.651,76.7677,69.5668,72.8515,1465100
2/28/2000,72.8515,73.5673,66.198,68.0508,1198400
2/29/2000,68.3456,72.0092,68.2614,69.9879,685300
3/1/2000,70.409,75.2939,70.2406,73.5252,742400
3/2/2000,74.0727,74.1148,69.0615,70.9407,850000
3/3/2000,70.7038,75.2939,70.7038,72.7672,869700
3/6/2000,76.1361,109.1509,75.7992,107.1295,4072200
3/7/2000,105.1082,108.4771,88.264,95.6754,5516100
3/8/2000,98.3705,102.4131,94.3279,102.4131,2828900
3/9/2000,99.0443,103.7607,97.6968,103.0869,1798800
3/10/2000,103.0869,104.3502,94.3279,95.6754,1773500
3/13/2000,87.6323,93.612,87.2533,88.4324,1878900
3/14/2000,89.6115,91.6328,80.0945,87.5902,2520000
3/15/2000,86.3269,86.3269,76.3045,76.9783,2179000
3/16/2000,78.1574,82.8738,75.4623,79.5471,1981100
3/17/2000,80.3893,85.5689,79.5892,81.6105,1118600
3/20/2000,81.1473,81.8631,76.1361,76.6414,1016200
3/21/2000,74.6201,77.4836,71.2513,77.4836,1808500
3/22/2000,76.5151,81.4841,73.4831,80.4735,1407700
3/23/2000,80.3472,83.3791,78.8312,80.6419,1396200
3/24/2000,80.0103,81.5263,78.3258,80.8525,880200
3/27/2000,79.6313,80.5156,76.2624,76.9783,605700
3/28/2000,76.8099,82.1579,76.473,80.2629,996100
3/29/2000,80.1787,81.5263,74.1148,75.4623,894800
3/30/2000,72.8936,75.7992,66.7875,70.7459,1455100
3/31/2000,71.4197,71.4197,60.6394,70.0722,2670400
4/3/2000,69.3984,69.5668,61.8185,66.0295,1452700
4/4/2000,66.0295,68.9773,55.2492,62.9976,2518700
4/5/2000,62.4922,67.2928,60.7236,65.3136,1473900
4/6/2000,66.2822,70.7459,65.3979,70.7459,983600
4/7/2000,72.4304,84.2213,72.1356,82.2,2128200
4/10/2000,82.2,82.2,70.9986,72.1777,2114500
4/11/2000,68.0508,70.6617,67.0823,68.0087,1356300
4/12/2000,66.0295,66.8717,55.923,57.9443,3113700
4/13/2000,59.2918,65.3558,58.618,60.6394,2672800
4/14/2000,59.1234,60.2604,54.5754,55.7124,2049500
4/17/2000,53.9438,55.6703,49.2274,53.5648,1972500
4/18/2000,52.5541,59.2918,50.617,58.618,2688300
4/19/2000,58.618,60.5973,56.5967,58.7865,1733900
4/20/2000,59.2076,61.8185,58.8707,60.5973,1039400
4/24/2000,58.7023,62.2396,57.3126,61.7342,1215000
4/25/2000,63.7556,64.3872,60.6394,60.6394,803500
4/26/2000,64.0924,64.1346,61.7342,61.9027,698500
4/27/2000,60.0498,62.8291,59.9656,61.1447,1631800
4/28/2000,60.6394,60.6815,58.5759,59.7129,1273300
5/1/2000,59.7129,64.8504,59.7129,64.2609,1356000
5/2/2000,66.198,70.1564,65.6505,67.0806,3046800
5/3/2000,65.6926,66.0295,60.3867,61.65,1664800
5/4/2000,61.65,61.65,59.4603,60.8078,850000
5/5/2000,60.7657,62.9555,60.3867,61.6079,903700
5/8/2000,61.9027,61.9027,56.9757,57.1021,771300
5/9/2000,57.6074,58.2812,52.9331,54.028,1229300
5/10/2000,53.2279,53.6911,51.0381,51.8803,1145500
5/11/2000,52.2172,53.4805,51.2066,51.5856,1203100
5/12/2000,56.5967,66.0295,55.4176,61.0184,9704500
5/15/2000,60.6394,61.3131,57.3547,59.4182,3178000
5/16/2000,60.7236,65.3136,59.2918,59.6287,4127900
5/17/2000,56.0914,56.4283,51.754,52.5541,8906100
5/18/2000,52.5541,53.1858,47.8377,47.8377,4391700
5/19/2000,48.9747,50.3223,44.5531,44.89,3763400
5/22/2000,45.1426,45.8164,40.3841,42.0264,5594300
5/23/2000,41.7317,42.616,38.1102,39.0787,3730100
5/24/2000,38.9103,40.3841,36.3836,39.7525,5691900
5/25/2000,39.9209,46.3217,39.2471,46.3217,5492200
5/26/2000,45.1426,46.1533,43.3319,43.7951,3545300
5/30/2000,44.5952,51.5013,44.511,50.7855,3818900
5/31/2000,49.859,52.6804,49.0168,49.6064,3153300
6/1/2000,50.1538,51.4171,49.0168,49.1853,2824200
6/2/2000,49.5221,55.2492,49.5221,55.0808,12222000
6/5/2000,54.5754,56.4283,51.5435,53.2279,7613100
6/6/2000,50.6591,50.8697,46.5323,47.8377,8714600
