Date,Open,High,Low,Close,Volume
12/12/1980,0.5134,0.5156,0.5134,0.5134,117258520
12/15/1980,0.4866,0.4889,0.4866,0.4866,43971244
12/16/1980,0.4509,0.4531,0.4509,0.4509,26432026
12/17/1980,0.4621,0.4643,0.4621,0.4621,21610422
12/18/1980,0.4755,0.4777,0.4755,0.4755,18362418
12/19/1980,0.5045,0.5067,0.5045,0.5045,12157612
12/22/1980,0.529,0.5312,0.529,0.529,9340809
12/23/1980,0.5514,0.5536,0.5514,0.5514,11737612
12/24/1980,0.5804,0.5826,0.5804,0.5804,12000812
12/26/1980,0.6339,0.6362,0.6339,0.6339,13893614
12/29/1980,0.6429,0.6451,0.6429,0.6429,23290424
12/30/1980,0.6272,0.6295,0.6272,0.6272,17220018
12/31/1980,0.6094,0.6116,0.6094,0.6094,8937609
1/2/1981,0.6161,0.6205,0.6161,0.6161,5415205.5
1/5/1981,0.6027,0.6049,0.6027,0.6027,8932009
1/6/1981,0.5759,0.5781,0.5759,0.5759,11289611
1/7/1981,0.5514,0.5536,0.5514,0.5514,13921614
1/8/1981,0.5402,0.5424,0.5402,0.5402,9956810
1/9/1981,0.5692,0.5714,0.5692,0.5692,5376005.5
1/12/1981,0.5647,0.5692,0.5647,0.5647,5924806
1/13/1981,0.5446,0.5469,0.5446,0.5446,5762406
1/14/1981,0.5469,0.5491,0.5469,0.5469,3572803.5
1/15/1981,0.558,0.5625,0.558,0.558,3516803.5
1/16/1981,0.5536,0.5558,0.5536,0.5536,3348803.25
1/19/1981,0.5871,0.5893,0.5871,0.5871,10393610
1/20/1981,0.5692,0.5714,0.5692,0.5692,7520807.5
1/21/1981,0.5804,0.5848,0.5804,0.5804,3976004
1/22/1981,0.5871,0.5915,0.5871,0.5871,8887209
1/23/1981,0.5848,0.5893,0.5848,0.5848,2805602.75
1/26/1981,0.5759,0.5781,0.5759,0.5759,6160006
1/27/1981,0.5714,0.5759,0.5714,0.5714,5924806
1/28/1981,0.5536,0.5558,0.5536,0.5536,7039207
1/29/1981,0.5335,0.5357,0.5335,0.5335,10976011
1/30/1981,0.5045,0.5089,0.5045,0.5045,11547212
2/2/1981,0.4755,0.4777,0.4755,0.4755,5941606
2/3/1981,0.4933,0.4955,0.4933,0.4933,4788005
2/4/1981,0.5112,0.5134,0.5112,0.5112,6966407
2/5/1981,0.5112,0.5156,0.5112,0.5112,1982402
2/6/1981,0.5134,0.5156,0.5134,0.5134,3466403.5
2/9/1981,0.4866,0.4911,0.4866,0.4866,4188804.25
2/10/1981,0.4866,0.4889,0.4866,0.4866,4586404.5
2/11/1981,0.471,0.4732,0.471,0.471,3460803.5
2/12/1981,0.4665,0.4687,0.4665,0.4665,3640003.75
2/13/1981,0.4554,0.4598,0.4554,0.4554,2788802.75
2/17/1981,0.4665,0.4687,0.4665,0.4665,3068803
2/18/1981,0.4866,0.4911,0.4866,0.4866,4810405
2/19/1981,0.4576,0.4598,0.4576,0.4576,5577605.5
2/20/1981,0.433,0.4353,0.433,0.433,6092806
2/23/1981,0.4397,0.442,0.4397,0.4397,3528003.5
2/24/1981,0.4241,0.4286,0.4241,0.4241,4244804
2/25/1981,0.4509,0.4531,0.4509,0.4509,4872005
2/26/1981,0.4576,0.4598,0.4576,0.4576,2710402.75
2/27/1981,0.4732,0.4777,0.4732,0.4732,3690403.75
3/2/1981,0.4755,0.4777,0.4755,0.4755,2940003
3/3/1981,0.4687,0.471,0.4687,0.4687,4043204
3/4/1981,0.4643,0.4665,0.4643,0.4643,3427203.5
3/5/1981,0.4621,0.4643,0.4621,0.4621,1344001.375
3/6/1981,0.4576,0.4621,0.4576,0.4576,2900803
3/9/1981,0.4219,0.4241,0.4219,0.4219,3830403.75
3/10/1981,0.4018,0.404,0.4018,0.4018,7095207
3/11/1981,0.3862,0.3906,0.3862,0.3862,7464807.5
3/12/1981,0.4018,0.404,0.4018,0.4018,14812015
3/13/1981,0.3973,0.3996,0.3973,0.3973,57825656
3/16/1981,0.413,0.4174,0.413,0.413,9307209
3/17/1981,0.433,0.4375,0.433,0.433,10936811
3/18/1981,0.4598,0.4643,0.4598,0.4598,9234409
3/19/1981,0.4554,0.4576,0.4554,0.4554,9452809
3/20/1981,0.4598,0.4643,0.4598,0.4598,3651203.75
3/23/1981,0.4777,0.4821,0.4777,0.4777,5504805.5
3/24/1981,0.4755,0.4777,0.4755,0.4755,7039207
3/25/1981,0.4665,0.471,0.4665,0.4665,1764001.75
3/26/1981,0.4576,0.4598,0.4576,0.4576,3068803
3/27/1981,0.442,0.4442,0.442,0.442,3063203
3/30/1981,0.442,0.4464,0.442,0.442,2475202.5
3/31/1981,0.4375,0.442,0.4375,0.4375,3998404
4/1/1981,0.433,0.4353,0.433,0.433,8517609
4/2/1981,0.471,0.4732,0.471,0.471,7851208
4/3/1981,0.4732,0.4755,0.4732,0.4732,4121604
4/6/1981,0.4643,0.4665,0.4643,0.4643,5700805.5
4/7/1981,0.4598,0.4621,0.4598,0.4598,2671202.75
4/8/1981,0.4821,0.4866,0.4821,0.4821,5488005.5
4/9/1981,0.4911,0.4933,0.4911,0.4911,3124803
4/10/1981,0.4978,0.5,0.4978,0.4978,8366408.5
4/13/1981,0.4978,0.5,0.4978,0.4978,4015204
4/14/1981,0.4978,0.5,0.4978,0.4978,1663201.625
4/15/1981,0.4732,0.4755,0.4732,0.4732,8512009
4/16/1981,0.4464,0.4487,0.4464,0.4464,5969606
4/20/1981,0.4598,0.4621,0.4598,0.4598,8836809
4/21/1981,0.4911,0.4933,0.4911,0.4911,7134407
4/22/1981,0.5089,0.5112,0.5089,0.5089,4748804.5
4/23/1981,0.5223,0.5246,0.5223,0.5223,14504015
4/24/1981,0.5179,0.5223,0.5179,0.5179,8764009
4/27/1981,0.5134,0.5156,0.5134,0.5134,9632010
4/28/1981,0.5045,0.5067,0.5045,0.5045,8047208
4/29/1981,0.4978,0.5,0.4978,0.4978,3410403.5
4/30/1981,0.5067,0.5112,0.5067,0.5067,3152803.25
5/1/1981,0.5067,0.5112,0.5067,0.5067,4138404.25
5/4/1981,0.5045,0.5067,0.5045,0.5045,3612003.5
5/5/1981,0.5022,0.5045,0.5022,0.5022,4384804.5
5/6/1981,0.4889,0.4911,0.4889,0.4889,4737604.5
5/7/1981,0.4955,0.4978,0.4955,0.4955,2340802.25
5/8/1981,0.5,0.5022,0.5,0.5,1976802
5/11/1981,0.4889,0.4911,0.4889,0.4889,2984803
5/12/1981,0.4889,0.4955,0.4889,0.4889,1064001.125
5/13/1981,0.4866,0.4933,0.4866,0.4866,1226401.25
5/14/1981,0.4799,0.4844,0.4799,0.4799,1232001.25
5/15/1981,0.4911,0.4978,0.4911,0.4911,1226401.25
5/18/1981,0.5,0.5045,0.5,0.5,1041601.063
5/19/1981,0.4911,0.4933,0.4911,0.4911,6356006.5
5/20/1981,0.5067,0.5112,0.5067,0.5067,3320803.25
5/21/1981,0.5357,0.538,0.5357,0.5357,8052808
5/22/1981,0.5603,0.5647,0.5603,0.5603,7856808
5/26/1981,0.558,0.5603,0.558,0.558,21336022
5/27/1981,0.5893,0.5915,0.5893,0.5893,37374436
5/28/1981,0.5893,0.5915,0.5893,0.5893,18496818
5/29/1981,0.5915,0.5937,0.5915,0.5915,14845615
6/1/1981,0.5915,0.5937,0.5915,0.5915,12812813
6/2/1981,0.5625,0.5647,0.5625,0.5625,10108010
6/3/1981,0.5625,0.567,0.5625,0.5625,9861610
6/4/1981,0.5737,0.5759,0.5737,0.5737,14016814
6/5/1981,0.5647,0.567,0.5647,0.5647,14420014
6/8/1981,0.5446,0.5469,0.5446,0.5446,23374424
6/9/1981,0.5558,0.558,0.5558,0.5558,29898430
6/10/1981,0.5625,0.5692,0.5625,0.5625,6305606.5
6/11/1981,0.5871,0.5893,0.5871,0.5871,9744010
6/12/1981,0.5804,0.5826,0.5804,0.5804,6451206.5
6/15/1981,0.5781,0.5804,0.5781,0.5781,35940836
6/16/1981,0.567,0.5692,0.567,0.567,9312809
