Date,Open,High,Low,Close,Volume
8/19/2004,50.0535,52.0805,48.0265,50.2162,22353092
8/20/2004,50.7892,54.5929,50.2987,54.2075,11429498
8/23/2004,55.4337,56.795,54.5779,54.7531,9140244
8/24/2004,55.674,55.8541,51.8352,52.4859,7632224
8/25/2004,52.5309,54.0524,51.9904,53.0514,4599110
8/26/2004,52.5259,54.0274,52.3808,54.0073,3551168
8/27/2004,54.1024,54.3627,52.8963,53.1265,3108977
8/30/2004,52.7962,52.7962,51.0545,51.0545,2601620
8/31/2004,51.2096,51.9053,51.1295,51.2346,2463427
9/1/2004,51.3998,51.5349,49.8833,50.1736,4574578
9/2/2004,49.5931,51.2346,49.518,50.8042,7567013
9/3/2004,50.524,50.9193,49.7082,50.0535,2578705
9/7/2004,50.554,51.0495,49.8533,50.8393,2927073
9/8/2004,50.4189,51.565,50.2987,51.1996,2495226
9/9/2004,51.2997,51.4048,50.549,51.2046,2032853
9/10/2004,50.8493,53.3317,50.6991,52.7161,4353885
9/13/2004,53.3667,54.2576,53.2816,53.8021,3927322
9/14/2004,53.7721,56.0543,53.4468,55.7991,5488357
9/15/2004,55.3336,57.1704,55.1534,56.0543,5362452
9/16/2004,56.2245,57.9562,55.8792,57.0403,4637786
9/17/2004,57.2655,58.802,56.8301,58.802,4748627
9/20/2004,58.5317,60.859,58.4416,59.7379,5332562
9/21/2004,60.1583,60.2684,58.812,58.9772,3617903
9/22/2004,58.782,59.893,58.4617,59.2474,3794393
9/23/2004,59.4776,61.3745,58.5668,60.4686,4273082
9/24/2004,60.5437,62.1102,59.9381,59.9731,4566707
9/27/2004,59.838,60.4986,58.9571,59.1874,3536818
9/28/2004,60.6338,63.7618,60.1633,63.4915,8476027
9/29/2004,63.3814,67.5755,63.1762,65.6036,15274991
9/30/2004,65.0125,66.2142,64.5626,64.8629,6890125
10/1/2004,65.4634,67.1851,64.5125,66.3543,7571329
10/4/2004,67.9759,68.5014,67.08,67.5955,6541875
10/5/2004,67.3953,69.3322,66.1841,69.2521,7507251
10/6/2004,68.9018,69.2921,68.066,68.6065,6699883
10/7/2004,68.3462,70.0078,68.3412,69.4923,7066873
10/8/2004,69.4323,69.9077,68.5765,68.9318,5543874
10/11/2004,68.5714,69.4973,66.9899,67.6956,5249263
10/12/2004,67.3102,68.8717,66.7647,68.7666,5920143
10/13/2004,71.7295,71.8446,70.1079,70.5183,9894833
10/14/2004,70.5784,71.2591,69.3472,71.0689,5234304
10/15/2004,72.5453,72.8206,71.0438,72.1249,6604448
10/18/2004,71.6694,74.6724,70.6735,74.6523,7032780
10/19/2004,75.323,76.2739,73.7465,74.0417,9069401
10/20/2004,74.0417,74.5673,69.8677,70.3131,11389627
10/21/2004,72.1349,75.1378,70.8787,74.7625,14998000
10/22/2004,85.3002,90.1724,82.1196,86.2986,36919840
10/25/2004,88.2255,97.3093,86.3587,93.7909,32775276
10/26/2004,93.3149,96.4134,90.0873,90.9882,22313860
10/27/2004,91.2334,94.8519,90.9732,93.0752,13373482
10/28/2004,93.4055,97.2893,92.89,96.7438,14856604
10/29/2004,99.5314,100.072,95.3924,95.4125,21183466
