Date,Open,High,Low,Close,Volume
1/29/1993,43.9688,43.9688,43.75,43.9375,1003200
2/1/1993,43.9688,44.25,43.9688,44.25,480500
2/2/1993,44.2188,44.375,44.125,44.3438,201300
2/3/1993,44.4063,44.8438,44.375,44.8125,529400
2/4/1993,44.9688,45.0938,44.875,45,531500
2/5/1993,44.9688,45.0625,44.7188,44.9688,492100
2/8/1993,44.9688,45.125,44.9063,44.9688,596100
2/9/1993,44.8125,44.8125,44.5625,44.6563,122100
2/10/1993,44.6563,44.75,44.5313,44.7188,379600
2/11/1993,44.7813,45.125,44.7813,44.9375,19500
2/12/1993,44.875,44.875,44.5938,44.5938,42500
2/16/1993,44.4688,44.4688,43.4063,43.4688,374800
2/17/1993,43.4688,43.5313,43.2813,43.4375,210900
2/18/1993,43.9375,43.9375,42.8125,43.4063,378100
2/19/1993,43.4063,43.5625,43.3438,43.5625,34900
2/22/1993,43.6875,43.7813,43.5625,43.7188,513600
2/23/1993,43.8438,43.875,43.4688,43.6875,373700
2/24/1993,43.7188,44.25,43.7188,44.25,26300
2/25/1993,44.2188,44.375,44.125,44.3438,44500
2/26/1993,44.4375,44.4375,44.1875,44.4063,66200
3/1/1993,44.5625,44.5625,44.2188,44.2813,66500
3/2/1993,44.3125,44.9375,44.25,44.9375,182400
3/3/1993,45,45.1563,44.9375,45.125,280100
3/4/1993,45.1875,45.1875,44.875,44.875,89500
3/5/1993,44.9375,45.125,44.7188,44.75,40000
3/8/1993,44.8438,45.75,44.8438,45.75,50800
3/9/1993,45.6563,45.6875,45.5,45.5938,169300
3/10/1993,45.5938,45.6875,45.4063,45.6875,194400
3/11/1993,45.7188,45.8438,45.5,45.5625,70900
3/12/1993,45.1875,45.2188,44.8125,45.0938,643600
3/15/1993,45.0625,45.3125,45.0625,45.3125,310800
3/16/1993,45.3125,45.4375,45.3125,45.3125,30800
3/17/1993,45.25,45.25,44.9688,45.0313,21800
3/18/1993,45.2188,45.5,45.2188,45.3125,59300
3/19/1993,45.2813,45.2813,45.0313,45.0313,66900
3/22/1993,44.5938,44.875,44.5625,44.7813,183400
3/23/1993,44.9063,44.9375,44.8125,44.875,55200
3/24/1993,44.8125,45.0625,44.5938,44.875,37200
3/25/1993,44.9063,45.25,44.8438,45.1563,110100
3/26/1993,45.125,45.1563,44.875,44.9063,101500
3/29/1993,44.9375,45.3125,44.9375,45.0938,87100
3/30/1993,45.1563,45.2188,45.0938,45.2188,56000
3/31/1993,45.3438,45.4688,45.1875,45.1875,111600
4/1/1993,45.25,45.25,44.9375,45.0313,129500
4/2/1993,44.6563,44.6563,44.0938,44.0938,59400
4/5/1993,44.4375,44.4375,44.1875,44.3125,172200
4/6/1993,44.4063,44.4063,44.0625,44.1875,129700
4/7/1993,44.25,44.3438,44.1563,44.3438,28000
4/8/1993,44.5313,44.5313,44.0938,44.2813,180800
4/12/1993,44.7188,44.9375,44.6563,44.9063,348500
4/13/1993,44.875,45.1563,44.8438,45,146100
4/14/1993,45.0313,45.0625,44.9063,44.9375,119600
4/15/1993,44.9063,45.0313,44.75,44.9375,148600
4/16/1993,44.9688,45.0313,44.875,44.9375,47900
4/19/1993,44.9375,45.0625,44.7188,44.75,157000
4/20/1993,44.6875,44.75,44.25,44.5313,279500
4/21/1993,44.625,44.625,44.375,44.5,67900
4/22/1993,44.3125,44.6875,43.9375,43.9375,97700
4/23/1993,43.8438,43.9688,43.6875,43.75,106000
4/26/1993,43.7813,43.9375,43.2813,43.4063,62600
4/27/1993,43.3438,43.875,43.3438,43.875,156800
4/28/1993,43.8125,43.9063,43.7188,43.7813,85900
4/29/1993,43.875,43.9688,43.625,43.9688,85000
4/30/1993,44.125,44.2813,44.0313,44.0313,88500
5/3/1993,44.0938,44.3125,43.9063,44.3125,80500
5/4/1993,44.4063,44.625,44.3438,44.4688,149100
5/5/1993,44.4688,44.75,44.4688,44.5938,109000
5/6/1993,44.5313,44.5625,44.4063,44.4375,54700
5/7/1993,44.4688,44.4688,44.2813,44.3438,68000
5/10/1993,44.4063,44.6875,44.4063,44.4375,113900
5/11/1993,44.4375,44.625,44.3125,44.625,42600
5/12/1993,44.4375,44.5938,44.4375,44.5625,31000
5/13/1993,44.375,44.375,44,44.0313,129100
5/14/1993,44.0313,44.1563,43.9688,44,63500
5/17/1993,44.125,44.1563,43.9375,44.1563,34000
5/18/1993,44.1875,44.2188,43.9688,44.125,105200
5/19/1993,44.125,45.0313,43.8438,45.0313,50200
5/20/1993,45.0313,45.1563,44.9375,45.1563,98200
5/21/1993,45.1875,45.25,44.7188,44.75,221400
5/24/1993,44.8438,45.0938,44.8438,44.9375,30500
5/25/1993,45.125,45.125,45.0313,45.0313,191800
5/26/1993,45.1563,45.625,45.125,45.5938,102400
5/27/1993,45.6563,45.6563,45.375,45.4375,53800
5/28/1993,45.4063,45.4063,45,45.2188,79100
6/1/1993,45.375,45.8125,45.3125,45.6563,28300
6/2/1993,45.5313,45.75,45.3438,45.5938,20300
6/3/1993,45.5,45.5,45.3438,45.4375,21600
6/4/1993,45.3125,45.3125,45.0938,45.2813,32000
6/7/1993,45.375,45.375,45.125,45.125,121400
6/8/1993,45,45,44.7188,44.7188,104500
6/9/1993,44.875,45.0625,44.8125,44.875,43300
6/10/1993,44.8438,44.9375,44.75,44.9063,17900
6/11/1993,45.0625,45.1563,44.9063,45.0938,647400
6/14/1993,45.1563,45.1875,45.0313,45.0313,64200
6/15/1993,45.0938,45.125,44.9375,44.9375,142400
6/16/1993,44.9375,45.0313,44.8125,45.0313,330900
6/17/1993,45.125,45.1875,45.0313,45.1875,37400
6/18/1993,44.8438,44.8438,44.5,44.5,58500
6/21/1993,44.625,44.625,44.5313,44.5938,29300
6/22/1993,44.6563,44.6563,44.5625,44.625,137500
6/23/1993,44.625,44.625,44.2188,44.2188,227600
6/24/1993,44.3438,44.8125,44.3438,44.8125,243700
6/25/1993,44.7813,44.9063,44.75,44.7813,44800
6/28/1993,45,45.2813,44.9375,45.2813,439900
6/29/1993,45.2188,45.2188,45,45.0625,207500
6/30/1993,45.125,45.2188,45,45.0625,437600
7/1/1993,45.125,45.125,44.875,44.9375,605700
7/2/1993,44.7813,44.8125,44.5313,44.6875,285400
7/6/1993,44.625,44.75,44.1563,44.2188,246400
7/7/1993,44.1875,44.4063,44.1875,44.3438,343700
7/8/1993,44.375,44.9375,44.3125,44.8438,248200
7/9/1993,44.8438,44.9688,44.75,44.9688,378200
7/12/1993,44.9063,44.9688,44.8438,44.9375,373700
7/13/1993,44.9688,45.0938,44.6563,44.9063,389600
7/14/1993,44.9375,45.1875,44.9063,45.0625,617300
7/15/1993,45.0313,45.0313,44.7813,44.875,443800
7/16/1993,44.9063,44.9375,44.6875,44.75,216400
7/19/1993,44.75,44.75,44.5938,44.7188,188200
7/20/1993,44.6875,44.8438,44.4688,44.8438,68500
7/21/1993,44.7813,44.8125,44.6563,44.8125,142700
7/22/1993,44.75,44.8125,44.5,44.5,632400
